"TYP","Type of Volume","MEA","Measure","BEVT","Beverage Type","SUB","Beverage Subtype/Strength","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2000","2000",76097,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2001","2001",77861,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2002","2002",75162,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2003","2003",78767,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2004","2004",75573,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2005","2005",75075,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2006","2006",76388,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2007","2007",77849,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2008","2008",79496,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2009","2009",81148,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2010","2010",79736,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2011","2011",77213,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2012","2012",75585,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2013","2013",75116,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2014","2014",75862,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2015","2015",72102,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","1","Beer","6","Total beer","A","Annual","2016","2016",75371,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2000","2000",5.08,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2001","2001",5.13,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2002","2002",4.87,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2003","2003",5.04,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2004","2004",4.77,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","1","Beer","6","Total beer","A","Annual","2005","2005",4.67,,
